date,title,average,id,idTraining,distance,blazonSize,weather,wind,temperature,bowUsed,total,scoreCriteria1,scoreCriteria2,scoreCriteria3
2026-05-01,,,T9ynwoTSJ3czLCO9RrZf,Piq4Smoz6pOCj155iujd,70,122,0,1,20,3,655,,,
2026-04-27,,,7jNs9OREzJLsERNIEWpI,DtGJCmFv9y7zko1OESZk,70,122,0,0,16,3,666,,,
2026-04-27,,,y3csyL0dhnH47W9JX8XH,DtGJCmFv9y7zko1OESZk,70,122,0,0,16,3,0,,,
2026-04-19,,,yEnTvpD7KfFpcF1cPSdE,wrKb49I41jXP49SdJoDp,70,122,4,0,14,3,316,,,
2026-04-16,,,rhkpe4FTvB7lYEp2NSyr,PabnkrL3IM8jlMf34C8M,70,122,0,0,20,3,1522,,,
2026-04-06,,,kTa9ZLxxQlSrtAN6DmqM,SZolYoUCJin85FOXXesB,70,122,0,0,15,1,655,,,
2026-03-08,,,H2YkWgdUNK1OyfjiUOsd,NsNoEQKJYd837HozbGjx,18,40,4,4,,1,276,,,
2026-03-08,,,c2lPmfWItdquw36SiNUQ,NsNoEQKJYd837HozbGjx,18,40,4,4,,1,117,,,
2026-03-05,,,GQQqVhunsSc8dSWkSeu2,UgujwSOmccUh2pzodpdt,18,40,4,4,,1,584,,,
2026-03-05,,,Be6Zbn5p2G9HIUxc7U1S,UgujwSOmccUh2pzodpdt,18,40,4,4,,1,0,,,
2026-03-02,,,mV373fmWltvcp3K0k9HU,5WgkiTy6LKJGnSKgxy6P,18,40,4,4,,1,578,,,
2026-03-02,,,23cihivp637dhkhgEuN0,5WgkiTy6LKJGnSKgxy6P,18,40,4,4,,1,0,,,
2026-01-23,,,pFOKhYXFjTnPCGJ0hb0a,J0vUEQZQy3Zd4wicE7f2,18,40,4,4,,1,568,,,
2026-01-23,,,6ZGp4adrqHOQGoTKvFPi,J0vUEQZQy3Zd4wicE7f2,18,40,4,4,,1,0,,,
2026-01-22,,,B3n6yGkguAVrQen9KX4L,hIoYUzGi1xKQFnrLM9b5,18,40,4,4,,1,579,,,
2026-01-22,,,0UJ4y6DUbJihXiMRxlQE,hIoYUzGi1xKQFnrLM9b5,18,40,4,4,,1,0,,,
2025-06-21,,,SSYEiiM7aKBDwZF7gSs4,NCVQWICxSNAcKE8G3mkt,70,122,0,0,28,1,362,,,
2025-05-24,,,zbDdaWaWisnY6ptUUTpJ,tBikcyrmnYUudvUw0jVo,70,122,4,4,,1,0,,,
2025-05-18,,,RIChcnvBiSadhDGQPcGn,XhD02CfbP3JOFzXV4McX,70,122,0,1,10,1,206,,,
2025-05-17,,,dJEDI62LrN7YdYpq55xG,c1cF4Ulb37u6zZkFKYkr,70,122,0,1,25,1,66,,,
2025-03-29,,,OiOhu5kRQqTNm5HePyYe,3BgD7Mi0g9lgwG5UQh03,70,122,4,4,,1,666,,,
2025-03-23,,,1bbfI5e0pKq9XUqHiyDo,FovTKXnJbCzxNoIrP8AS,70,122,4,4,,1,367,,,
2025-03-15,,,viktlXqdscT9LvvNoodC,8I0EmTi7J3osiNNEhkEW,18,40,4,4,,1,449,,,
2025-03-06,,,pAsxKDxbT8OYI8ntFBDa,g0Q3Sv2wtWhjKU6KCHjN,18,40,4,4,,1,194,,,
2025-02-18,,,QL8QxhT1xEXWzOq1xXwA,zPvLw9UY4WuAmzBp2qNk,18,40,4,4,,1,640,,,
2025-02-10,,,HigwrNlDBa2HZFcCihmh,O8CGcb9LWo7doRQapFFb,18,40,4,4,,1,583,,,
2025-02-10,,,ofqCNhHLg9vSOQ9wC3IE,O8CGcb9LWo7doRQapFFb,18,40,4,4,,1,0,,,
2025-02-09,,,uFkgn1Wk1vj7oOj7JCcd,Zr6EMTwyvtzWgImGxVgx,18,40,4,4,,1,581,,,
2025-02-07,,,YXifBwqf8sAuY6WKu8u5,T6wtJHP18YJ6g6bwG6jh,18,40,4,4,,1,583,,,
2025-02-02,,,psVnIvBg4yf51LEa1X41,4D0GgpR0uURksfGLi0IW,18,40,4,4,,1,581,,,
2025-02-01,,,TXM2rJk0NPK0ywQXDXqF,WotyTSfeUtrvwnYB3WON,18,40,4,4,,1,577,,,
2025-02-01,,,eeBHkPrycWcyAbguEjos,WotyTSfeUtrvwnYB3WON,18,40,4,4,,1,0,,,
2025-02-01,,,umi8oLkqUkFDOXdzOgKg,WotyTSfeUtrvwnYB3WON,18,40,4,4,,1,580,,,
2025-02-01,,,YIT6dy1Uv9PYPuBYjJy1,WotyTSfeUtrvwnYB3WON,18,40,4,4,,1,0,,,
2025-01-26,,,GF5xnJbeoAAruRxRZBzW,ePhhIdSIsTMTDTUr43mx,18,40,4,4,,1,584,,,
2025-01-05,,,zo5oXwm3nZ1ncGJuyXZc,aWXdY22iHbn5FDhPdzPe,18,40,4,4,,3,587,,,
2024-12-30,,,KERxxaUhuaP4xIMUd0G2,8CPJ6tiG7qO35qFaBURI,18,40,4,4,,3,584,,,
2024-12-29,,,ROTkgJ5xezAYDVRPDtBZ,16HeifGVhOZSXdaEsbQY,18,40,4,4,,3,585,,,
2024-12-23,,,R0nVezENeX8en7gldh7U,4wcTHCmlza04ZBV8mp9H,18,40,4,4,,3,507,,,
2024-12-17,,,3sHoMIQ0OTvyXiE7oaoC,1waXwfmoGc5FYuZievj9,18,40,4,4,,3,584,,,
2024-12-11,,,vZkOaN0j6kVZoyvde9Lz,vRMpoYEx3IHGVIFEuOHK,18,40,4,4,,3,584,,,
2024-11-24,,,NphffQ3M1f0Xal3FcVlt,DxhJIQSqfMsbsGWG7nox,18,40,4,4,,3,585,,,
2024-11-24,,,kFmu3sMC7F64KC99qHog,DxhJIQSqfMsbsGWG7nox,18,40,4,4,,3,0,,,
2024-11-11,,,DcANDFjSTF1lCDdqXcsM,OdczH57so2iZLhexPThs,18,40,4,4,,3,573,,,
2024-11-11,,,LVkMuXuc9DlW6wszuQKb,OdczH57so2iZLhexPThs,18,40,4,4,,3,0,,,
2024-11-10,,,Iy8PEtm8tiZA4pRmKzTC,mwkSACi3JYd1hMs7r0YJ,18,40,4,4,,3,1175,,,
2024-11-09,,,7tA60fD92r2m0ODcwgtT,fZzf7NhgrrmgxbH5uDYh,18,40,4,4,,3,568,,,
2024-06-09,,,nBTVnLwbnz9yAvl1M3Ps,OaydPRHFdgzEgp4k2IpV,70,122,1,1,18,3,215,,,
2024-06-08,,,hV2qoAfKcs8bOfURw64c,Masjk8q28Esb03oOqyPp,70,122,0,1,30,3,733,,,
2024-05-05,,,hPZgjtvJ5ydeLu4IjNqh,HTlcxCATu1rlFfAbUQDO,70,122,1,1,14,3,255,,,
2024-04-25,,,Ms00Mq7AirMswsnPH2Wg,y6q0jENGbB5DobYZU7bO,70,122,1,1,18,1,1011,,,
2024-04-22,,,Axpy4Igoo5mdNdVbqPO7,XBEM3PXY1xezL9jKisZ1,70,122,4,4,25,3,1021,,,
2024-04-14,,,gH0LYC4WkzPltLcQyvck,i3q220OwaqdMV8PhPaP7,70,122,0,0,20,3,137,,,
2024-03-19,,,e9iJFngbFmZTyR1lplyh,BXvipOliQomPGwZTFpVd,18,40,4,4,,3,567,,,
2024-03-13,,,wcnGHVDHgPX68FvL5kba,zzIgsRMPlkdVEMszBFQZ,18,40,4,4,,3,859,,,
2024-03-12,,,AzJl7YvxMabqAHTv8KX4,eQVyh9Eq2VFoLHfh4nEE,18,40,4,4,,3,578,,,
2024-03-11,,,u6OsCcbXTcpzWr7TBSng,ifjyQJEVpAY0iGae68nm,18,40,4,4,,3,566,,,
2024-03-02,,,DWzycV0FrcGBJ9tXu2zk,xBKUY0wunaMkmyBTIjUE,18,40,4,4,,1,74,,,
2024-03-02,,,OdGhj0IB51XzCWj7jeR1,xBKUY0wunaMkmyBTIjUE,18,40,4,4,,1,254,,,
2024-03-01,,,9ipOr4E8LRGm1y77YLWq,0rkOwZXh8ttalTYa7aBo,18,40,4,4,,3,456,,,
2024-02-01,,,o0sQFj2DtSCf8Wl31XTa,5w0cGglxDPTORYaOCCzl,18,40,4,4,,3,154,,,
2024-01-17,,,gOW4hfndJFYPtVy4OSmE,CpmRY9tcaozRgk8PXcP5,18,40,4,4,,3,1142,,,
2024-01-15,,,zUhsWhikJSxWE5lFHauL,6taqpkeZl5MbqKHAUjrY,18,40,4,4,,3,559,,,
2024-01-06,,,6W8VYsA7bD2Wy6QFjvnt,nsiaJK1o4jAEuLGtrVkb,18,40,4,4,,3,557,,,
2024-01-04,,,jmrICEi4g4ZlX5WBhyyF,TMyGEHzADsPJjOP8jDpa,18,40,4,4,,3,568,,,