date,id,idTraining,title,arrows
2026-05-02,Mkse3miaNyr5cTzWT3De,ct2I9lQ7Z222Q1V3h43Q,,"10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0"
2026-04-29,Qn1pTCn2Mlek9IxgnB6u,qKWh2yTpADoqBJ7bO01Z,,"10:-10.088:-5.158,10:-11.064:-1.923,8:-20:22.009,7:24.68:30.123,7:-39.207:-14.864,7:-42.288:-5.209,10:-1.94:-3.12,10:-0.761:-12.244,9:-13.175:7.618,9:-17.458:-0.016,8:-28.63:-11.499,7:-33.506:22.78,10:9.581:-6.75,9:13.381:-3.463,9:21.393:0.748,9:-1.306:15.949,8:-26.882:0.029,8:-15.789:-23.492,9:-12.502:-8.085,9:-4.182:16.463,9:-1.717:-17.946,9:7.938:-18.562,8:-16.816:23.55,8:-28.217:11.43,10:-10.756:-7.366,10:-12.502:-1.204,10:3.008:-0.279,9:13.69:4.445,9:18.517:15.641,9:-19.281:11.019,10:-1.204:-0.896,9:-17.329:-3.566,9:11.738:-16.405,9:14.922:15.025,8:13.895:-26.163,8:-29.655:20.263,10:1.159:0.029,10:-7.058:-7.161,9:12.868:16.976,9:-12.707:12.457,8:-27.601:15.538,8:-16.919:-30.99,10:-1.923:-0.998,10:1.467:0.44,9:-0.587:17.695,8:23.242:16.36,8:-25.135:15.641,8:-28.217:-0.793,10:-0.382:1.57,9:-7.777:15.128,9:-22.054:-9.729,9:-13.837:18.003,7:-1.512:40.497,7:46.044:-12.81,10:3.316:-3.977,9:12.868:9.889,9:-17.638:4.24,9:20.263:-13.529,8:-25.238:-6.853,6:-51.43:-14.762,10:-8.393:3.521,10:9.889:-6.75,10:8.965:5.781,9:-10.14:14.306,9:-8.907:-22.979,8:-13.734:26.118,9:3.624:19.75,8:12.765:22.42,8:-12.707:22.112,8:-26.779:-8.393,8:12.046:-27.292,7:26.529:-30.887"
2026-04-28,qNrHOCjxljL1jEaoFPFm,8vpGraE8TdkUD0k8P5PB,Tri X10-380 Competition,"4:-10.499:76.806,7:-0.177:38.854,9:-13.94:5.37,9:-13.734:-3.874,10:-9.729:4.035,10:-2.642:-7.572,10:5.678:-9.729,10:4.445:-0.485,10:0.234:4.856,10:0.645:7.527,8:-24.981:-15.018,8:-18.151:23.139,9:-10.448:10.916,9:-10.448:15.436,10:-2.744:-8.393,10:4.754:0.234,10:5.575:6.397,10:1.57:8.143,9:11.224:13.279,9:18.003:15.744,5:15.795:70.335,8:-15.583:-22.979,10:6.397:-1.409,10:-0.587:2.905,10:-3.463:2.186,10:-2.847:3.316,10:3.11:1.57,10:-1.512:6.911,10:-2.436:10.711,10:5.883:7.013,9:-0.741:-22.927,9:1.364:-17.124,9:-12.502:-9.729,10:3.624:-1.409,10:-10.242:-2.231,10:3.008:7.527,9:-5.518:17.695,9:1.056:19.031,9:4.445:21.085,9:18.003:13.792,7:-9.061:40.857,8:4.651:27.453,9:-14.453:14.819,9:19.75:4.754,9:15.538:-5.518,9:-10.859:-11.886,10:0.748:-2.025,10:-8.907:5.883,10:0.234:4.754,10:-0.896:7.732"
2026-04-28,JyEhzBJ7ydgbcO3l0Kr4,8vpGraE8TdkUD0k8P5PB,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0"
2026-04-24,DXE0FQbqcPaEQELq9Zy4,hZXFx8zYWtyIVSTk2560,,"10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0"
2026-04-22,JR8b1EVKa2qpXlQyj02m,z1W77XaBVyfp0RPzlHYb,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,6:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,7:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,8:0:0"
2026-04-18,UbWfz0qepRM89FDm0kHQ,BvJBk3p7xRb0QZvshjg1,,"10:2.839:5.942,9:17.301:-0.327,8:20.28:19.039,8:10.411:22.887,8:-0.389:28.163,8:-25.775:-14.913,10:-4.609:1.101,10:2.28:9.542,9:22.267:8.239,8:28.412:-1.568,8:13.701:30.025,8:-30.244:-12.368,10:-5.789:-9.078,9:10.473:14.818,9:6.687:23.136,9:2.094:23.508,8:14.26:21.274,7:-46.962:-12.451,10:-3.361:5.267,10:-4.799:-8.804,10:9.17:0.748,9:-15.994:-17.74,8:-22.568:-13.837,8:-20.924:-24.519,10:5.781:-5.826,10:10.3:-3.566,10:9.17:2.494,9:13.998:16.155,9:9.273:19.544,8:-9.934:34.54,10:-8.599:4.548,9:-10.961:9.787,9:-0.587:13.587,9:10.403:-14.556,8:12.971:-22.67,8:26.22:0.029,10:2.653:9.046,10:6.377:6.439,9:9.729:13.453,8:19.225:18.542,8:14.694:21.77,7:-26.023:27.791,10:10.101:5.694,9:-3.74:15.873,9:10.97:-19.568,9:24.129:-0.389,9:-23.727:-2.313,8:-26.272:-2.561,9:-16.403:-1.568,9:-8.085:17.363,9:-0.327:23.446,9:14.011:7.804,8:-34.431:-2.796,8:-19.589:-29.655,10:0.234:2.597,10:-8.599:-7.366,9:-13.324:-6.339,9:-17.946:3.11,9:13.792:-5.518,9:22.317:10.505,10:-0.587:-0.69,10:-6.956:4.856,10:1.98:6.911,10:-1.717:8.657,9:16.976:6.911,7:45.736:-7.88,10:-0.265:-7.465,10:5.198:-4.734,10:-6.906:-4.858,9:-0.451:18.17,8:7.68:26.674,8:1.039:-28.692"
2026-04-12,12PKkIh3k4dM1ffJcDjf,Hl5Kbk4jFFI4rr1N5t0e,,"10:-5.665:7.06,9:15.501:-6.285,9:18.915:0.853,8:2.156:-27.079,8:-7.52:-32.377,8:-25.033:11.635,10:2.494:-0.69,10:8.657:-0.279,9:-14.351:1.672,8:10.3:24.372,8:-15.172:-22.362,7:-0.896:-41.159,10:-4.671:-3.244,10:2.963:3.522,10:8.053:-3.989,9:-5.23:-17.582,8:-27.138:-12.553,7:-35.407:-21.849,10:7.593:-5.069,9:15.253:-6.782,9:15.377:9.977,9:-0.575:15.439,9:-22.113:2.715,8:-18.389:-19.506,10:1.846:-4.361,10:-2.499:3.149,9:-13.113:-6.72,7:-36.177:-27.344,6:-38.488:40.497,5:-43.544:-52.47,10:-0.041:4.552,9:12.211:-8.892,9:-12.554:-7.837,9:-17.768:-2.189,9:-16.837:7.742,8:-15.099:-23.541,10:10.101:-0.078,10:5.942:8.984,10:-7.403:10.225,9:-2.251:16.246,8:-27.885:3.087,8:-24.658:-22.61,10:9.542:-0.761,10:-2.437:-12.306,9:-10.816:7.929,9:-5.292:19.97,9:15.067:9.604,7:-5.672:-47.27,10:-1.512:7.63,10:9.889:-1.614,9:-5.107:12.868,9:-13.016:10.916,7:13.895:-37.564,7:-27.395:38.032,10:5.57:9.046,10:2.591:10.349,9:-4.734:12.956,9:12.956:20.032,9:-9.699:-20.499,6:-44.139:-41.461,10:-0.575:-0.699,10:1.908:-11.996,9:-13.175:4.577,8:-21.989:16.68,8:-1.196:29.901,7:-31.175:-22.299,10:-6.801:-6.801,9:-17.74:1.775,9:-13.94:10.095,8:-24.417:19.031,7:-22.054:30.637,7:-37.666:-23.184"
2026-04-12,KxsyKGo3nOFUXOnKv2uA,lrYfYV9Gf2w9HDjaUmVm,,"9:-0.575:12.956,9:0.294:19.225,9:5.446:15.749,9:-9.265:12.646,8:28.97:18.108,7:34.991:20.28,10:2.094:9.232,10:7.494:6.129,9:13.267:1.722,9:5.508:16.742,9:-2.251:-18.389,9:2.218:-18.079,10:-3.554:-1.444,10:5.694:-10.134,10:8.611:-6.782,9:16.432:0.729,8:-16.092:-20.81,8:30.336:17.053,10:3.149:-0.823,10:9.17:-3.678,9:11.777:-14.292,9:-2.127:-16.775,9:-14.727:-15.037,9:-12.741:14.136,10:-0.575:3.025,10:-6.223:9.729,9:4.887:-16.216,9:-3.492:-18.575,8:-29.003:1.349,8:21.025:26.053,10:2.342:-8.272,10:5.57:-6.782,10:6.998:8.798,9:3.46:-22.858,8:-31.237:-3.43,8:29.901:7.68,10:6.315:2.963,10:10.66:-1.382,9:11.156:9.294,9:0.294:18.108,9:-10.878:15.936,8:14.942:30.336,10:-0.637:2.218,10:8.922:0.108,10:-10.196:2.777,10:-0.202:12.336,9:-10.134:12.956,8:-5.354:31.329,10:-7.589:-6.782,10:-10.941:6.004,9:5.756:-12.927,9:-9.637:-19.382,8:15.749:25.929,8:8.487:-25.775,10:-2.313:-2.437,9:-11.437:-6.72,9:-14.603:4.949,9:-11.375:-21.803,9:8.487:-22.92,7:33.256:-26.83,10:0.234:-0.177,9:1.467:16.36,9:7.219:16.976,9:14.717:16.668,8:-16.919:23.858,8:26.323:-23.081,10:-5.004:-6.75,9:8.862:-10.961,9:12.868:-16.919,9:-19.178:3.316,9:-16.302:15.949,8:-17.432:-23.287"
2026-04-11,Zt7e87zgVI0VRGZmzz4b,EheT7Iqx35RuaPo1Ghlq,,"9:-6.099:15.005,10:-2.189:-5.23,10:-2.871:-9.637,10:-2.871:-10.816,10:0.046:-12.244,10:9.853:-6.596,10:0.356:-10.692,10:-4.734:-6.534,9:-17.768:-0.575,9:-1.568:15.625,8:-1.382:-28.444,8:-24.782:15.005,10:4.701:-11.065,10:-1.258:-10.196,9:-18.203:7.184,9:1.101:-15.41,8:-24.285:9.17,8:25.556:-22.672,10:-1.878:0.046,10:8.922:-0.202,9:4.763:15.749,9:-10.754:14.26,9:6.067:-18.575,8:-13.92:-29.561,10:11.156:-0.575,10:-7.216:-5.851,9:-13.175:7.867,9:-23.23:1.722,9:-24.161:1.535,7:-44.189:5.113,10:11.841:1.159,10:1.364:9.889,9:-6.956:11.841,9:-15.891:5.267,9:-16.405:-8.804,8:-18.665:25.912,10:-3.377:7.334,9:-7.179:11.069,9:-13.175:2.342,9:0.542:18.542,8:13.267:21.956,8:-17.582:19.66,10:-5.975:7.37,10:-7.154:7.494,10:-6.782:-5.416,10:3.522:-9.637,9:-10.32:-17.52,9:-17.396:7.06,10:6.873:-0.761,9:13.205:-1.258,9:-0.202:-22.423,9:-11.499:-16.092,9:-24.658:-2.685,9:-24.658:1.784,10:-0.327:-0.823,10:-7.216:-1.754,10:8.549:-0.885,10:11.156:-0.699,9:-15.161:9.853,7:-33.658:17.86,10:0.915:-10.32,9:-18.141:1.535,9:-1.754:15.687,8:19.474:18.915,8:-32.106:-5.603,7:-42.853:-0.228,10:1.467:2.083,10:-11.475:2.905,9:13.381:-9.01,9:11.224:8.246,9:-0.587:17.49,7:6.602:38.649"
2026-04-09,gpEynpNhbnWcDYLlll0B,B5D2c2CDxTAHVYUqh2QM,,"10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,8:0:0"
2026-04-06,wkyI5SwqlXfYYaZk1xGf,SZolYoUCJin85FOXXesB,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,6:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,8:0:0,4:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0"
2026-04-04,OXNwvHIrzQcbhzGDooPa,3hxxCIOYmD9bcM6WEPGU,,"10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,7:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0"
2026-03-19,DV0ue6a4tRCiTuh3zdMF,eQPJQCmoOCAksgpGXQbs,,"10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,6:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,7:0:0,6:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,8:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,9:0:0,9:0:0,8:0:0,7:0:0"
2026-03-08,HvIK0yFQsrZ3mnuKJDRe,NsNoEQKJYd837HozbGjx,Qualifications,"9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,10:0:0,9:0:0,9:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0"
2026-03-01,AlUcEgthddra6L7fs4OH,VzSHHWsa3Y5msPrhJAqP,,"9:5.424:-1.405,9:-5.307:-2.039,9:-4.673:0.839,10:0.107:1.473,10:-2.331:2.888,10:-1.892:-1.697,9:-4.965:1.18,9:-3.6:2.839,9:-3.648:-3.502,10:-0.088:0.059,9:-2.917:4.887,10:3.717:0.351,10:-0.673:0.595,10:-1.6:2.351,9:3.229:-5.112,10:3.473:1.132,10:-2.429:-1.697,9:0.107:4.936,10:-0.966:0.741,10:1.522:2.79,8:-3.405:7.863,9:4.497:5.57,9:-4.721:-0.137,10:0.79:-0.917,10:-1.405:-2.234,10:1.473:3.961,10:0.01:0.156,10:3.327:-0.722,9:-8.185:0.595,10:-2.527:2.205,10:3.522:2.351,10:1.18:-0.917,10:-2.38:-1.697,10:-1.551:2.839,9:-3.063:3.668,10:-2.283:-2.136,9:-3.112:4.204,10:0.01:-0.429,9:4.253:-5.112,10:1.863:-0.283,10:1.083:-4.185,9:-2.429:4.887,10:0.107:0.205,10:-0.527:-3.892,10:0.644:-0.868,10:-2.819:-2.722,10:-3.209:0.936,9:-4.283:-3.697,9:3.375:-4.185,10:3.765:-0.966,10:-2.234:-2.673,10:-0.722:2.985,10:0.449:-0.966,9:-1.356:4.936,10:-0.234:-0.332,8:-10.77:-0.088,10:-1.454:-2.966,9:-3.014:-3.746,9:5.912:-2.283,8:-10.623:-1.21"
2026-02-26,6UGr4SKzybRX2sP5XSyI,LGtXqoqU97VAzOVlBq3d,,"10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,10:0:0,9:0:0,10:0:0,10:0:0,10:0:0,9:0:0,9:0:0,9:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,10:0:0,9:0:0,8:0:0"
2026-02-20,B2DYafc5DJRZpkz8oFYW,QnH0rFllSHhT4ZMQHDWS,,"9:5.668:5.814,9:2.985:4.009,10:-0.917:0.059,10:1.863:-3.356,9:1.18:5.278,10:-0.771:3.083,10:2.985:1.278,10:-0.868:-0.283,9:0.156:4.741,8:4.839:11.228,10:1.912:-0.478,10:-2.673:-0.088,10:1.375:3.912,10:-1.551:2.107,9:5.18:-3.892,10:2.156:2.79,9:-1.356:-6.185,9:4.156:5.229,9:4.595:4.741,10:-1.21:-3.746,9:-1.307:-5.014,9:-4.965:5.034,10:0.936:2.01,10:0.79:1.863,9:4.936:4.302,10:2.644:-1.454,10:-0.624:-1.99,10:1.375:1.18,10:-0.722:1.766,9:-0.283:-4.917,9:4.253:-4.77,10:-0.673:-0.527,9:-5.063:-0.039,10:-2.77:2.888,10:-1.21:4.156,10:0.546:-1.356,10:1.278:2.692,10:-4.234:-0.38,10:-1.161:-2.234,10:0.156:-0.917,8:-2.283:-9.404,9:5.034:0.936,9:4.741:-0.185,10:1.571:-3.405,10:-1.454:3.131,10:-0.185:-0.185,10:-0.917:1.668,10:2.156:-2.088,10:-0.088:-3.405,9:3.619:3.131,9:-3.892:4.985,10:3.229:-0.283,9:1.717:-7.941,10:-1.21:-2.478,10:-0.039:0.985,9:-7.355:0.205,10:-0.966:-0.332,9:-3.941:4.253,10:-0.185:-2.331,10:0.156:-1.551"
